Packet 1: 0.0.0.0 -> 0.0.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 128 238.169.64.255
Packet 2: 0.0.0.0 -> 0.0.0.0, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 128 130.231.218.71
Packet 3: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 4: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 5: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 6: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 7: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 8: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 9: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 10: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 11: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 12: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 13: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 14: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 15: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 16: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 17: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 18: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 19: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 20: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 21: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
